[ə'bændən] v./n.放弃；放纵
[əd'vaizəbl] a.适当的，可行的,明智的
['ædvəkəsi] n.拥护，支持
['ædvəkit] v.拥护，支持；n.支持者，拥护者
['idʒis] n.盾；保护，庇护
['eiəreit] v.充气，让空气进入
['eəriəl] a.空中的，空气中的
['i:sθi:t] n.审美家
[i:s'θetik] a.美学的，有审美感的
['æfəbl] a.易于交谈的；和蔼的
[,æfek'teiʃən] n.做作，虚假
[ə'fektid] a.不自然的；假装的
[ə'fekʃən] n.爱
[,æfi'deivit] n.宣誓书
[ə'filieit] v.加入；联合
[ə,fili'eiʃən] n.联系，联合
[ə'finiti] n.密切关系；(两性)吸引力
[ə'fə:m] v.确认；肯定
[ə'fiks] v.粘上，贴上；在合同上添写某事物；n.词缀
[ə'flikt] v.使痛苦，折磨
[ə'flikʃən] n.悲痛，受难的起因
['æfluəns] n.充裕，富足
['æfluənt] a.富裕的，丰富的
[ə'fɔ:dəbl] a.能够支付的
[ə'frʌnt] v.侮辱，冒犯
[ə'dʒendə] n.议程
[ə'ɡlɔməreit] v.凝聚，结块
[ə'ɡrændaiz] v.增大，扩张；吹棒
['æɡrəveit] v.加重，恶化
['æɡriɡeit] v.集合；合计
[ə'ɡreʃən] n.侵略；敌对的情绪或行为
[ə'ɡresiv] a.好斗的；进取的
[ə'ɡresə(r)] n.侵略者，攻击者
[ə'ɡri:v] v.使受委屈；使痛苦
['ædʒail] a.敏捷的，灵活的
[ə'dʒiliti] n.敏捷
['ædʒiteit] v.搅动，煽动；使不安，使焦虑
['ædʒiteitid] a.被鼓动的；不安的
[æɡ'nɔstik] a.不可知论的
[ə'ɡɔɡ] a.兴奋的，有强烈兴趣的
['æɡəni] n.极大痛苦
[ə'ɡreəriən] a.土地的
[ə'ɡriəbl] a.令人喜悦的；欣然同意的
[əɡ'rɔnəmi] n.农学，农艺学
[eil] v.生病
['eəbɔ:n] a.空气传播的；空运的
['eətait] a.密闭的，不透气的
['æləbɑ:stə] a.雪白的
[ə'lækriti] n.乐意，欣然；敏捷，活泼
[ɔ:l'bi:it] conj. 虽然，尽管
['ælkimi] n.炼金术
['ælkəuv] n.凹室
[ə'lə:t] a.警惕的，机警的; n.警报
['eiliəs] n.化名，别名
['ælibai] n.某人当时不在犯罪现场的申辩或证明
['eiljəneit] v.疏远，离间某人
[ə'lain] v.将某物排列在一条直线上；与某人结盟
[,æli'mentəri] a.饮食的，营养的
['ælkəlai] n.碱
[ə'lei] v.减轻，缓和
[ə'ledʒ] v.(无证据)陈述，宣称
[ə'li:dʒəns] n.忠诚，拥护
['æliɡəri, 'æliɡɔ:ri] n.寓言
[ə'lə:dʒik] a.过敏的；对„讨厌的
['ælədʒi] n.过敏症；厌恶
[ə'li:vieit] v.缓和，减轻
['æləukeit] v.配给，分配
[ə'lauəns] n.津贴，补助；承认，允许
[ə'lju:d] v.间接提到，暗指
[ə'ljuəriŋ] a.吸引人的，迷人的
[ə'l(j)u:ʒən] n.暗示，间接提示
[ə'lɔft] adv.在空中，在头顶上
[ə'lu:f] a.冷淡的，疏远的
[,ælfə'betikəl] a.按字母表顺序的
['ɔ:ltə] v.改变，更改
[ɔ:l'tə:nit, 'ɔltə:,neit] a.轮流的，交替的；v.轮流，交替n.候选人，替代性选择
['æltruizəm] n.利他主义；无私
[,æltru'istik] a.无私的，为他人着想的
[,ælju:'minjəm] n.铝
[ə'mælɡəm] n.混合物
[ə'mælɡəmeit] v.合并；混合
[ə'mæs] v.积聚
['æmətə(:)] n.业余爱好者
[,æmə'tə:riʃ] a.业余爱好的，不熟练的
['æmbi'dekstrəs] a.十分灵巧的
[æm'biɡjuəs] a.含糊的
[æm'bivələns] n.矛盾心理
[æm'bivələnt] a.(对人或物)有矛盾看法的
['æmbl] n./v.漫步，缓行
['æmbuʃ] v.埋伏；伏击
[ə'mi:ljəreit] v.改善，改良
[ə'mi:nəbl] a.愿顺从的，通情达理的
[ə'mend] v.修正，(通常向更好的方向)变化
[ə'mendmənt] n.改正，修正；[法]修正案
[ə'mi:niti] n.礼仪；使人感到舒适的事物
['eimjəbl] a.（人自身性格）和蔼的，亲切的
['æmikəbl] a.（对外界）友好的
['æməti] n.(人或国之间的)友好关系
[æm'ni:zjə] n.健忘症
['æmnesti] n.大赦，特赦
[ə'mɔ:fəs] a.无定形的
[ə'mɔ:taiz] v.分期偿还
[æm'fibiən] n.两栖动物；水陆两用飞行器
['æmpl] a.富足的；充足的
['æmplifai] v.放大；详述
['æmplitju:d] n.广大，广阔
['æmjulit] n.护身符
[ə'mju:z] v.使愉快，逗某人笑
[ə,nækrə'nistik] a.年代出错的
[,æneiə'rəubik] a.厌氧的
['ænəɡræm] n.变形词
[,ænæl'dʒi:zjə] n.无痛觉，痛觉丧失
[ænæl'dʒi:sik] n.镇痛剂；a.止痛的
[ə'næləɡəs] a.类似的
[ə'nælədʒi] n.相似；类比
['ænəlaiz] v.分析，分解
['ænəkist] n.无政府主义者
['ænəki] n.无政府;政治上的混乱
[ə'næθimə] n.被诅咒的人；宗教意义的诅咒
[,ænə'tɔmikəl] a.解剖学的
['ænsistə] n.祖先，祖宗
['ænsistri, 'ænsestri] n.家系
['æŋkə] v.稳固；固定n.锚
[æn'siləri] a.辅助的；n.助手
['ænikdəut] n.短故事；轶事
[ə'ni:miə] n.贫血，贫血症
[,ænis'θetik] n.麻醉剂；a.麻醉的
['æŋɡwiʃ] n.极大痛苦
['æŋɡjulə] a.有角的；(指人)瘦削的
[æn'haidrəs] a.无水的
['ænimit, 'ænimeit] a.活的，有生命的；v.赋予生命
['ænimeitid] a.活泼的，生动的
[,æni'meiʃən] n.活泼，有生气；卡通制作
[,æni'mɔsiti] n.憎恶，仇恨
['æniməs] n.敌意，憎恨
['ænəlz] n.编年史
[,ænek'seiʃən] n.并吞，合并
[ə'naiəlet] v.消灭
['ænəuteit] v.注解
[ə'nauns] v.宣布，发表；通报„的到来
[ə'nɔi] v.惹恼；打搅，骚扰
[ə'nʌl] v.宣告无效；取消
[ə'nɔmələs] a.反常的；不规则的
[ə'nɔməli] n.异常，反常
[,ænə'nimiti] n.无名，匿名
[ə'nɔniməs] a.匿名的
[,ænə(u)'reksiə] n.厌食症
[æn'tæɡənizəm] n.反抗，敌意
[æn'tæɡənaiz] v.使对抗；与„对抗
[æn'tɑ:ktik] a.南极的
[ænti'si:dəns] n.居先，优先
[,ænti'si:dənt] n.前事；前辈；a.先行的
[,æntidi'lu:viən] a.史前的；陈旧的
[æn'tenə] n.触角；天线
[æn'tiəriə] a.较早的，以前的
['ænθəm] n.圣歌；赞美歌，国歌
[æn'θɔlədʒi] n.诗集，文选
[,ænθrə'pɔlədʒist] n.人类学家
[,æntibai'ɔtik] n.抗生素；a.抗菌的
['ænti,bɔdi] n.抗体(身体中的抗病物质)
['æntik] a.古怪的
[æn'tisipeit] v.预期，期待
[æn'tisipeitəri] a.预想的，预期的
[,ænti'klaimæks] n.令人扫兴的结局;（演讲）突降法
['æntidəut] n.解毒药
[,ænti'histəmi(:)n] n.(治疗过敏的)抗组胺剂
[æn'tipəθi] n.反感，厌恶
['æntikweitid] a.陈旧的，过时的
[æn'ti:k] a.古时的，古老的；n.古物，古董
[æn'tikwiti] n.古；古人；古迹
[,ænti'septik] n.杀菌剂；a.防腐的
[æn'tiθisis] n.对立；相对
['ænvil] n.铁砧
[ei'ɔ:tə] n.主动脉
['eipeks] n.顶点，最高点
['æfərizm] n.格言
['eipjəri] n.养蜂场，蜂房
['æplɔ:ŋ] n.沉着，镇静
[əpɔkə'liptik] a.预示世界末日的；启示的
[ə'pɔkrifə] n.伪经，伪书
[ə'pɔkrif(ə)l] a.假冒的，虚假的
['æpəudʒi:] n.远地点
[ə'pɔlədʒaiz] v.道歉；辩解
[,æpəu'plektik] a.中风的；愤怒的
[ə'pɔstəsi] n.背教，脱党
[ə'pɔstit] n.背教者；变节者
[ə'pɔstrəfi] n.书写中撇号(’)(表示省略或所有格)
[ə'pɔθikəri] n.药剂师
[ə'pɔ:l] v.使惊骇，使恐怖
[,æpə'reitəs] n.仪器，设备
[ə'pærəl] n.(精致的)衣服
[,æpə'riʃən] n.幽灵，神奇的现象
[ə'pi:l] v.恳求；吸引；上诉
[ə'pi:z] v.使平静，安抚
[,æpe'leiʃən] n.名称，称呼
['æpitait] n.欲望，食欲，爱好
['æpitaizə(r)] n.开胃品
['æpitaiziŋ] a.美味可口的，促进食欲的
[ə'plɔ:d] v.鼓掌表示欢迎或赞赏
[ə'plɔ:z] n.鼓掌，喝彩
['æplikəbl] a.生效的，适合的
['æplikənt] n.申请人
[,æpli'keiʃən] n.请求，申请；应用，应用程序
[ə'pɔint] v.任命，指定；约会
['æpəzit] a.适当的，恰当的
[ə'preiz] v.评价，鉴定
[ə'pri:ʃiəbl] a.明显的，可观的
[ə'pri:ʃieit] v.欣赏；感激
[,æpri'hend] v.逮捕；恐惧
[,æpri'hensiv] a.有眼力的；害怕的
[ə'prentis] n.学徒
[ə'praiz] v.通知，告诉
[ə'prəutʃ] v.接近，靠近；着手处理；n.方法
[,æprə'beiʃən] n.称赞，认可
[ə'prəuprieit] v.拨款；盗用；a.恰当的
[ə'prɔksimeit] a.大约的，估计的
['eiprən] n.围裙
['æprəpəu] a./adv.适宜的(地)；有关
[æpt] a.易于„的；恰当的；聪明的
['æptitju:d] n.适宜；才能，资质
[ə'kwætik] a.水生的，水中的
['ækwi,dʌkt] n.引水渠；高架渠
['ækwifə] n.含水土层
[,ærə'besk] n.蔓藤图饰
['ærəbl] a.可耕的，适合种植的
['ɑ:bitə] n.权威人士，泰斗
['ɑ:bitrəri] a.专横的，不理智的
['ɑ:bitreit] v.仲裁，公断
[ɑ:'bɔ:riəl] a.树木的
[,ɑ:bə'ri:təm] n.植物园
[ɑ:'kein] a.神秘的，秘密的
[ɑ:tʃ] n.拱门，拱形 v.使成拱形
[,ɑ:ki'ɔlədʒi] n.考古学
['ɑ:kitaip] n.原型；典型例子
[,ɑ:ki'peliɡəu] n.群岛
['ɑ:kitekt] n.建筑师
['ɑ:kaiv] n.档案室
['ɑ:ktik] a.北极的；极寒的
['ɑ:dənt] a.热心的，热烈的
[ə'ri:nə] n.(角斗的)竞技场
['ɑ:ɡəu] n.隐语，黑话
['ɑ:riə] n.独唱曲，咏叹调
['ærid] a.干旱的；枯燥的
[,æris'tɔkrəsi] n.贵族；贵族政府，贵族统治
[ɑ:'mɑ:də] n.舰队
['ɑ:mistis] n.休战，停战
['ɑ:məri] n.军械库
[ə'rəumə] n.芳香，香气
[,ærəu'mætik] a.芬芳的，芳香的
[ə'rauz] v.唤醒；激发
[ə'rei] v.部署；n.陈列；大批
[ə'rest] v.依法逮捕；阻止，抑制
[ə'restiŋ] a.显著的，引人注意的
[ə'riðmik] a.无节奏的；不规则的
['ærəɡəns] n.傲慢，自大
['ærəɡənt] a.傲慢的，自大的
['ærəuɡeit] v.冒称具有„权利，霸占
[ə'rɔiəu] n.干涸的河床；小河
['ɑ:sinl] n.军械库
['ɑ:sn] n.纵火，放火
['ɑ:təri] n.动脉，命脉
[ɑ:'θraitis] n.关节炎
[ɑ:'tikjulit] v.清楚说话；连接
['ɑ:tifækt] n.人工制品
['ɑ:tifæks] n.史前古器物
['ɑ:tifis] n.巧办法；诡计
[,ɑ:ti'fiʃəl] a.人造的，假的
['ɑ:tistri] n.艺术技巧
['ɑ:tlis] a.粗俗的；自然的
[ə'sendənsi] n.统治权，支配力量
[ə'setik] a.禁欲的；n.苦行者
[əs'kraib] v.归功于；归咎于
[æ'septik] a.洁净的；无菌的
[əs'pærəɡəs] [植]芦笋，龙须菜(可作蔬菜)
['æspekt] n.(问题等的)方面；面貌，外表
['æspən] n.白杨
[æs'periti] n.严酷；粗鲁
[əs'pə:ʃən] n.诽谤，中伤
[æs'fiksieit] v.(使)无法呼吸，窒息而死
[əs'paiərənt] n.有抱负者
[,æspə'reiʃən] n.抱负，热望
[əs'paiə] v.向往，有志于
[ə'seil] v.(评论)抨击；猛攻
[ə'sɔ:lt] n.突然袭击；猛袭
[ə'sei] v./n.试验，测定
[ə'sembl] v.集合，聚集；装配
[ə'sent] v.同意，赞成
[ə'sə:t] v.断言，主张
[ə'sə:tiv] a.过分自信的；有进取心的
[ə'sə:tivnis] n.过分自信
[ə'ses] v.确定，评定；估计„的质量
[ə'sesmənt] n.估计，评价
['æset] n.财产；优点，长处，可取之处
[ə'sidjuəs] a.勤勉的；专心的
[ə'simileit] v.同化；吸收
[ə'səuʃieit] a.联合的；n.合伙人；v.将人或事物联系起来
[ə'sɔ:tid] a.混杂的
[ə'sweidʒ] v.缓和，减轻
[ə'sju:m] v.假定；承担
[ə'sʌmpʃən] n.设想；夺取
[ə'ʃuə] v.向某人保证，确信
[ə'ʃuəd] a.自信的；确定的
['æstərisk] n.星号
['æstərɔid] n.小行星
['æsmə] n.哮喘症
[əs'taund] v.使震惊
[əs'trei] a.迷路的，误入歧途的
[əs'trindʒənt] a.止血的，收缩的；n.收缩剂，止血剂
['æstrəleib] n.星盘(古代星位观测仪)
[ə'strɔlədʒi] n.占星术；占星学
[æstrə'nɔmik(ə)l] a.庞大的
[ə'stju:t] a.机敏的，精明的
[ə'sʌndə(r)] a./adv.分离的；化为碎片
[ə'sailəm] n.避难所，庇护所
[æsi'metrik] a.不对称的
[æθ'letiks] n.运动，体育
[ei'təunl] a.(音乐)无调的
[ə'trəuʃəs] a.残忍的，凶恶的
[ə'trɔsiti] n.残暴，暴行
['ætrəfi] n.萎缩，衰退
[ə'tætʃ] v.将某物系在(另一物)上
[ə'tein] v.达到，实现
[ə'teinmənt] n.成就
[ə'tenjueit] v.变薄；减弱
[ə'test] (to)v.证明
['ætik] n.阁楼，顶楼
[ə'tə:ni] n.律师
[ə'tribju(:)t] n.属性，品质；v.把„归于
[ə'tju:n] (to)v.使调和
['ɔ:kʃən] n.拍卖
[ɔ:'deiʃəs] a.大胆的；愚勇的
['ɔ:dəbl] a.听得见的
['ɔ:djəns] n.听众，观众；读者
['ɔ:dit] v.审计，核对；旁听
[,ɔ:di'tɔ:riəm] n.礼堂；观众席
[ɔ:ɡ'ment] v.增大，增值
['ɔ:ɡə] n.占卜师；v.占卜
['ɔ:ɡjuri] n.预言，征兆，占卜
[ɔ:'ɡʌst] a.威严的，高贵的
['ɔ:spisiz] n.资助，赞助
[ɔ:s'piʃəs] a.幸运的；吉兆的
[ɔs'tiə] a.朴素的
[ɔs'teriti] n.朴素，艰苦
[ɔ:'θentik] a.真正的；法律证实的
[,ɔ:θen'tisiti] n.确实性，真实性
[ɔ:,θɔri'teəriən] n.独裁主义者；极权主义者
[,ɔ:θərai'zeiʃən] n.授权，认可
[,ɔ:təbai'ɔɡrəfi] n.自传
[ɔ:'tɔkrəsi] n.独裁政府
['ɔ:təukræt] n.独裁者
[ɔ:'tɔnəməs] a.自治的
[ɔ:'tɔnəmi] n.自治，独立
[ɔ:ɡ'ziljəri] a.辅助的，协助的
[ə'veiləbl] a.可用的，可得到的
['ævə,lɑ:nʃ] n.雪崩
[ævəŋ'ɡɑ:d] n.(艺术)先锋派
['ævəris] n.贪财，贪婪
[,ævə'riʃəs] a.贪婪的，贪心的
[ə'vendʒ] v.为„复仇，为„报仇
[ə'və:] v.极力声明；断言；确证
[ə'və:s] a.不愿的;反对的
[ə'və:ʃən] n.嫌恶，憎恨
[ə'və:t] v.避免，防止；避开
['eivjəri] n.大鸟笼，鸟舍
['ævid] a.渴望的；热心的
[ə'vɔid] v.避开，躲避
[ə'vau] v.承认；公开宣称
[ɔ:] n./v.敬畏
[ɔ:in'spaiəriŋ] a.令人敬畏的
['ɔ:kwəd] a.笨拙的；难用的；不便的
[ɔ:l] n.(钻皮革的)尖钻
['ɔ:niŋ] n.遮阳蓬，雨蓬
[ə'rai] a.扭曲的，走样的
['æksiəm] n.公理；定理
['æksis] n.轴(常为虚构之线，如地球轴)
['æksl] n.轮轴(连接两个车轮的轴)
['bæbl] v.胡言乱语；牙牙学语；喋喋不休
['bækdrɔp] n.(事情的)背景；背景幕布
[bæk'hændid] a.间接的；反手击球的
['bækset] n.倒退
[bæk'tiəriə] n.细菌，培养基
[bæk'tiəriəm] n.细菌
[bædʒ] n.徽章(如校徽等)
['bædʒə] n.獾；v.一再烦扰，一再要求
['bædinɑ:ʒ] n.开玩笑，打趣
[beil] n.保释金 v.保释
[beit] n.诱饵；v.逗弄；激怒
[beil] n.大包裹；灾祸，不幸
['beilful] a.有害的，恶意的
[bɔ:lk] n.大方木料；v.妨碍；(因困难等)不愿前进或从事某事
['bæləd] n.歌谣，小曲
['bæləst] n.(船等)压舱物
[,bælə'ri:nə] n.芭蕾舞女演员
[bə'lu:n] n.气球；v.快速增加
['bælət] n./v.投票
[bɑ:m] n.香油，药膏；镇痛剂
['bɑ:mi] a.(气候)温和的；芳香的
[bɑ:n] n.禁令
[bə'nɑ:l] a.陈腐的
[bænd] n.带子；收音机波段
['bændidʒ] n.绷带；v.用绷带包扎
[bein] n.祸根
['bæniʃ] v.放逐某人
['bænistə] n.(楼梯的)栏杆
['bæŋkrʌpt] a.破产的
['bæŋkwit] n.宴会，盛宴
['bæntə] n.打趣，玩笑
[bɑ:(r)] v.禁止，阻挡；n.条，棒；酒吧
[bɑ:b] n.(鱼钩的)倒钩；严厉的批评
['bɑ:bərəs] a.野蛮的；残暴的
['bɑ:bikju:] n.烤肉架；烤肉
[bɑ:d] n.吟游诗人
[beə] v.暴露；a.赤裸的
[beə'feist] a.厚颜无耻的，公然的
['bɑ:ɡin] n.交易; 物美价廉的东西；v.讨价还价
[bɑ:dʒ] n.平底货船，驳船
[bɑ:k] v./n.狗吠；n.树皮
[bɑ:n] n.谷仓
[bə'rəuk] n./a.(艺术、建筑等)过分雕琢(的)；（艺术）巴洛克
['bærɑ:ʒ] n.弹幕
['bærən] a.不育的；贫瘠的；不结果实的
[,bæri'keid] v.设栅阻挡；n.栅栏
['bæriə] n.路障；障碍
['bɑ:tə] v.易货贸易
[beis] a.卑鄙的
[bɑ:sk] v.晒太阳，取暖
[beist] v.倒油脂于(烤肉上，以防烤干)
[bætʃ] n.一批，一炉
[bə'θetik] a.假作悲伤的；陈腐的
['bætən] n.指挥棒(指挥家用)；警棍
[bə'tæljən] n.军营，军队
['bɔ:ksait] n.铝土岩(产铝的矿土、石)
['bɔ:di] a.淫猥的，好色的
[bə'zɑ:] n.集市，商店集中区
['bi:kən] n.烽火；灯塔
[bi:m] n.(房屋等)大梁；光线
['beəriŋ] n.关系，意义；方位
[bi:t] v.心跳；搅拌
[bi'dek] v.装饰，修饰
['bedləm] n.混乱，骚乱
[bi'fʌdəlmənt] n.迷惑不解
[bi'ɡrʌdʒ] v.吝啬，勉强给
[bi'həuldə(r)] n.目睹者，旁观者
[bi'həuv] v.理应，有义务
[bi'leibə] v.过分冗长地做或说；痛打
[bi'leitid] a.来得太迟的
[bi'li:ɡə] v.围攻；骚扰
[bi'lai] v.掩饰；证明为假
[bi'litl] v.轻视，贬抑
['beləkəus] a.好战的，好斗的
[bi'lidʒərəns] n.交战；好战性，斗争性
['bel,weðə] n.领导者，领头羊
[bentʃ] n.法官席；长凳
[bend] v.弯曲；屈服
[beni'dikʃən] n.祝福；祈祷
['benifæktə] n.行善者，捐助者
[bi'nevələnt] a.善心的，仁心的
[bi'nain] a.慈祥的
['benizn] n.祝福，赐福
[bent] n.(天生)特长，爱好；a.弯曲的
[bi'kwi:ð] v. 遗赠
[bi'kwest] n.遗产，遗赠物
[bi'reit] v.猛烈责骂
[bi'reft] a.被剥夺的；缺少的
[bi'set] v.镶嵌；困扰
[bi'si:dʒ] v.围攻，困扰
[bi'smə:tʃ] v.诽谤
['bestjəl] a.野兽的，残忍的
[bi'stəu] v.给予，赐赠
[bi'trei] v.背叛；暴露
[bi'trəuð] v.许配，和„订婚
['bevəridʒ] n.饮料
[bi'wildə] v.迷惑，混乱
[bi'wildəriŋ] a.令人迷惑的；费解的
[,bibli'ɔɡrəfi] n.文献学；参考书目
['bibliəufail] n.爱书者，藏书家
['bikə] v.为小事争吵
[bid] v.命令；出价，投标
['baifə:keit] v.分为两支，分叉
['biɡət] n.(宗教、政治等的)盲信者；心胸狭窄者
[bail] n.胆汁；愤怒
[bai'liŋɡwəl] a.(说)两种语言的
[bilk] v.躲债；骗取
['biləui] a.如波浪般翻滚的
[bin] n.大箱子
['baiəsfiə] n.生命层，生物圈
['baiped] n.二足动物
[bit] n.钻头
[bi'zɑ:] a.奇异的，古怪的
[bleid] n.刀锋，刀口
[blɑ:ntʃ] v.使变白；使(脸色)变苍白
[blænd] a.(人)情绪平稳的；(食物)无味的
['blændiʃmənt] n.奉承，甘言劝诱
['blæsfimi] n.亵渎，渎神
[blɑ:st] n.一阵(大风)；冲击波；v.爆破；枯萎
['bleitənt] a.厚颜无耻的；显眼的；炫耀的
['bleizn] n.纹章，装饰；v.精确描绘
[bli:tʃ] v.漂白
[bli:k] a.寒冷的；阴沉的；阴郁的，暗淡的
['blemiʃ] v.损害；玷污；n.瑕疵，缺点
[blait] n.植物枯萎病；v.使„枯萎
[blaitid] a.枯萎的；衰老的
[blis] n.狂喜；福佑，天赐的福
['blisfuls] a.极幸福的
[blaið] a.快乐的，无忧无虑的
['blizəd] n.暴风雪
[blɔ'keid] v./n.封锁
['blɔkidʒ] n.障碍物
['blu:miŋ] a.有花的；精力旺盛的
[blɔtʃ] n.(皮肤上的)红斑点；(墨水等)大斑点
['bləuhɑ:d] n.自吹自擂者
[blu:] a.忧伤的，沮丧的
['blu:,print] n.蓝图；方案
['blʌndə] v.犯大错；笨拙地做；n.愚蠢之举
[blʌnt] a.钝的；直率的；v.变钝
[blə:] n.模糊不清的事物；v.使„模糊
[blə:b] n.简介；印在书籍封套上的推荐广告
[blə:t] v.脱口而出
[blʌʃ] v.因某事物脸红；n.因羞愧等脸上泛出的红晕
['blʌstə] v.(指风)猛刮
['blʌstəriŋ] a.大吵大闹的
[bəust] v./n.自夸
['bɔdiɡɑ:d] n.保镖，侍卫
[bɔɡ] n.沼泽；v.使„陷入泥沼
['bɔɡl] v.畏缩不前；使退缩
['bəuɡəs] a.假装的，假的
['bɔistərəs] a.喧闹的；猛烈的
['bəulstə] n.枕垫；v.支持，鼓励
[bəult] v.急逃(to dash out; dart)；螺栓，门栓
